QBlade v0.963 64bit

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 12.500, 1.2821, 0.02059, 0.01530, 0.0156,0.0168,1.0000,-7.6955, 0.0000, 0.2233
 13.000, 1.3177, 0.02180, 0.01660, 0.0180,0.0158,1.0000,-8.2011, 0.0000, 0.2210
 13.500, 1.3437, 0.02325, 0.01813, 0.0217,0.0147,1.0000,-8.6565, 0.0000, 0.2177
 14.000, 1.3542, 0.02581, 0.02086, 0.0263,0.0134,1.0000,-8.9931, 0.0000, 0.2135
 14.500, 1.3355, 0.03120, 0.02664, 0.0309,0.0125,1.0000,-9.0836, 0.0000, 0.2088
 15.000, 1.3142, 0.03830, 0.03413, 0.0316,0.0121,1.0000,-9.1419, 0.0000, 0.2068
 15.500, 1.3124, 0.04447, 0.04052, 0.0300,0.0121,1.0000,-9.3630, 0.0000, 0.2069
 16.000, 1.3013, 0.05264, 0.04894, 0.0264,0.0120,1.0000,-9.4911, 0.0000, 0.2083
 16.500, 1.2774, 0.06323, 0.05980, 0.0211,0.0120,1.0000,-9.4864, 0.0000, 0.2109
 17.000, 1.2401, 0.07659, 0.07344, 0.0141,0.0120,1.0000,-9.3270, 0.0000, 0.2148
 17.500, 1.1888, 0.09291, 0.09006, 0.0055,0.0120,1.0000,-8.9890, 0.0000, 0.2205
 18.000, 1.1244, 0.11289, 0.11035,-0.0052,0.0120,1.0000,-8.4390, 0.0000, 0.2288
 18.500, 1.0115, 0.14468, 0.14258,-0.0223,0.0121,1.0000,-7.1580, 0.0000, 0.2458
 28.000, 1.0383, 0.35936, 0.35768,-0.1407,0.0066,1.0000,-1.9090, 0.0000, 0.3467
 28.500, 1.0520, 0.36677, 0.36509,-0.1458,0.0065,1.0000,-1.8882, 0.0000, 0.3485
 29.000, 1.0661, 0.37428, 0.37261,-0.1509,0.0062,1.0000,-1.9114, 0.0000, 0.3502
 29.500, 1.0796, 0.38175, 0.38010,-0.1558,0.0054,1.0000,-1.9530, 0.0000, 0.3517
 30.000, 1.0920, 0.38875, 0.38710,-0.1607,0.0048,1.0000,-2.0220, 0.0000, 0.3531


